Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1
Agawam Lake,Suffolk,1,2018,HT,05/25/2018,10/26/2018,22,22,40.8744011,-72.3921967,"(40.8744011, -72.3921967)"
Agawam Lake,Suffolk,1,2017,HT,05/26/2017,10/27/2017,22,22,40.8744011,-72.3921967,"(40.8744011, -72.3921967)"
Agawam Lake,Suffolk,1,2016,HT,06/10/2016,11/04/2016,21,21,40.8744011,-72.3921967,"(40.8744011, -72.3921967)"
Agawam Lake,Suffolk,1,2015,HT,05/22/2015,10/30/2015,23,16,40.8744011,-72.3921967,"(40.8744011, -72.3921967)"
Agawam Lake,Suffolk,1,2014,HT,05/28/2014,10/24/2014,21,20,40.8744011,-72.3921967,"(40.8744011, -72.3921967)"
Agawam Lake,Suffolk,1,2013,HT,07/15/2013,10/21/2013,14,8,40.8744011,-72.3921967,"(40.8744011, -72.3921967)"
Alcove Reservoir,Albany,4,2018,S,12/10/2018,12/17/2018,1,1,42.4768982,-73.9375992,"(42.4768982, -73.9375992)"
Alcove Reservoir,Albany,4,2016,C,09/23/2016,10/28/2016,5,2,42.4768982,-73.9375992,"(42.4768982, -73.9375992)"
Allegheny Reservoir,Cattaraugus,9,2018,S,10/12/2018,10/19/2018,1,1,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allegheny Reservoir,Cattaraugus,9,2017,C,07/07/2017,10/20/2017,15,11,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allegheny Reservoir,Cattaraugus,9,2016,C,07/29/2016,10/28/2016,13,9,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allegheny Reservoir,Cattaraugus,9,2015,C,07/10/2015,10/16/2015,14,12,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allegheny Reservoir,Cattaraugus,9,2014,C,07/09/2014,10/13/2014,14,12,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allegheny Reservoir,Cattaraugus,9,2013,S,07/10/2013,10/14/2013,14,8,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allegheny Reservoir,Cattaraugus,9,2012,S,08/29/2012,09/05/2012,1,1,42.0559500,-78.8906900,"(42.05595, -78.89069)"
Allens Pond,Otsego,4,2016,C,07/01/2016,07/15/2016,2,2,42.5640984,-75.3058014,"(42.5640984, -75.3058014)"
Allison Pond,Richmond,2,2017,C,06/25/2017,07/14/2017,3,2,40.6381780,-74.1025850,"(40.638178, -74.102585)"
Allison Pond,Richmond,2,2016,C,09/02/2016,09/16/2016,2,1,40.6381780,-74.1025850,"(40.638178, -74.102585)"
Alma Pond,Allegany,9,2012,S,08/29/2012,09/05/2012,1,1,42.0140991,-78.0014038,"(42.0140991, -78.0014038)"
Andover Pond,Allegany,9,2016,C,06/24/2016,07/22/2016,4,1,42.1655998,-77.7936020,"(42.1655998, -77.793602)"
Andover Pond,Allegany,9,2015,C,07/31/2015,11/09/2015,14,3,42.1655998,-77.7936020,"(42.1655998, -77.793602)"
Arctic Lake,Broome,7,2017,S,06/25/2017,09/01/2017,10,2,42.1792984,-75.4252014,"(42.1792984, -75.4252014)"
Arctic Lake,Broome,7,2016,S,08/26/2016,10/07/2016,6,3,42.1792984,-75.4252014,"(42.1792984, -75.4252014)"
Arctic Lake,Broome,7,2015,S,09/18/2015,09/25/2015,1,1,42.1792984,-75.4252014,"(42.1792984, -75.4252014)"
Arctic Lake,Broome,7,2014,S,03/10/2014,07/17/2014,18,4,42.1792984,-75.4252014,"(42.1792984, -75.4252014)"
Artist Lake,Suffolk,1,2018,HT,08/31/2018,09/14/2018,2,1,40.8803400,-72.9382300,"(40.88034, -72.93823)"
Avon Marsh Dam Pond,Livingston,8,2018,HT,06/22/2018,08/31/2018,10,6,42.9011002,-77.6686020,"(42.9011002, -77.668602)"
Avon Marsh Dam Pond,Livingston,8,2017,HT,08/11/2017,10/06/2017,8,3,42.9011002,-77.6686020,"(42.9011002, -77.668602)"
Avon Marsh Dam Pond,Livingston,8,2016,HT,06/17/2016,10/14/2016,17,8,42.9011002,-77.6686020,"(42.9011002, -77.668602)"
Avon Marsh Dam Pond,Livingston,8,2015,HT,07/08/2015,11/15/2015,19,8,42.9011002,-77.6686020,"(42.9011002, -77.668602)"
Ballston Lake,Saratoga,5,2017,C,07/21/2017,09/22/2017,9,3,42.9388008,-73.8578033,"(42.9388008, -73.8578033)"
Ballston Lake,Saratoga,5,2014,C,07/18/2014,07/25/2014,1,1,42.9388008,-73.8578033,"(42.9388008, -73.8578033)"
Ballston Lake,Saratoga,5,2013,C,07/07/2013,08/18/2013,6,4,42.9388008,-73.8578033,"(42.9388008, -73.8578033)"
Barger Pond,Putnam,3,2018,C,06/07/2018,09/29/2018,16,3,41.3595009,-73.8126984,"(41.3595009, -73.8126984)"
Barger Pond,Putnam,3,2017,S,10/06/2017,10/27/2017,3,2,41.3595009,-73.8126984,"(41.3595009, -73.8126984)"
Barger Pond,Putnam,3,2016,S,08/12/2016,09/09/2016,4,1,41.3595009,-73.8126984,"(41.3595009, -73.8126984)"
Barger Pond,Putnam,3,2015,S,07/31/2015,08/21/2015,3,3,41.3595009,-73.8126984,"(41.3595009, -73.8126984)"
Barnum Pond,Franklin,5,2018,S,08/17/2018,10/20/2018,9,4,44.4599991,-74.2594986,"(44.4599991, -74.2594986)"
Barnum Pond,Franklin,5,2016,C,09/09/2016,09/30/2016,3,1,44.4599991,-74.2594986,"(44.4599991, -74.2594986)"
Barnum Pond,Franklin,5,2014,S,09/28/2014,10/26/2014,4,1,44.4599991,-74.2594986,"(44.4599991, -74.2594986)"
Basic Creek Reservoir,Albany,4,2018,S,10/12/2018,10/19/2018,1,1,42.4812012,-74.0139008,"(42.4812012, -74.0139008)"
Basic Creek Reservoir,Albany,4,2017,S,07/21/2017,10/13/2017,12,5,42.4812012,-74.0139008,"(42.4812012, -74.0139008)"
Basic Creek Reservoir,Albany,4,2016,C,09/23/2016,10/27/2016,5,1,42.4812012,-74.0139008,"(42.4812012, -74.0139008)"
Basic Creek Reservoir,Albany,4,2014,HT,08/25/2014,10/02/2014,5,2,42.4812012,-74.0139008,"(42.4812012, -74.0139008)"
Basic Creek Reservoir,Albany,4,2013,HT,08/12/2013,10/20/2013,10,2,42.4812012,-74.0139008,"(42.4812012, -74.0139008)"
Bear Lake,Chautauqua,9,2018,S,07/20/2018,09/29/2018,10,1,42.3512990,-79.3858410,"(42.351299, -79.385841)"
Beaver Dam Lake,Orange,3,2018,HT,06/08/2018,10/12/2018,18,10,41.4420013,-74.1158981,"(41.4420013, -74.1158981)"
Beaver Dam Lake,Orange,3,2017,C,06/30/2017,10/27/2017,17,6,41.4420013,-74.1158981,"(41.4420013, -74.1158981)"
Beaver Dam Lake,Orange,3,2015,S,09/11/2015,10/20/2015,6,5,41.4420013,-74.1158981,"(41.4420013, -74.1158981)"
Beaver Dam Lake,Orange,3,2014,HT,07/31/2014,10/20/2014,12,7,41.4420013,-74.1158981,"(41.4420013, -74.1158981)"
Beaver Dam Lake,Orange,3,2013,HT,09/25/2013,11/08/2013,6,6,41.4420013,-74.1158981,"(41.4420013, -74.1158981)"
Beaver Lake,Broome,7,2017,C,06/30/2017,10/20/2017,16,3,42.0455017,-75.6657028,"(42.0455017, -75.6657028)"
Beaver Lake,Broome,7,2015,C,07/17/2015,10/02/2015,11,5,42.0455017,-75.6657028,"(42.0455017, -75.6657028)"
Beaver Lake,Broome,7,2014,C,07/07/2014,10/16/2014,14,6,42.0455017,-75.6657028,"(42.0455017, -75.6657028)"
Beaver Lake,Broome,7,2013,HT,06/09/2013,09/29/2013,16,9,42.0455017,-75.6657028,"(42.0455017, -75.6657028)"
Beaver Lake,Cattaraugus,9,2012,S,08/22/2012,10/13/2012,7,1,42.4472008,-78.3965988,"(42.4472008, -78.3965988)"
